,BPFI,BPFO,Misalign,Normal,Unbalance
BPFI,351,0,0,0,0
BPFO,0,301,50,0,0
Misalign,0,0,711,0,0
Normal,0,0,237,0,0
Unbalance,0,0,1182,2,1
