,BPFI,BPFO,Misalign,Normal,Unbalance
BPFI,0,0,130,0,221
BPFO,0,0,124,4,223
Misalign,0,0,299,0,412
Normal,0,0,115,0,122
Unbalance,0,0,550,0,635
