,BPFI,BPFO,Misalign,Normal,Unbalance
BPFI,351,0,0,0,0
BPFO,0,351,0,0,0
Misalign,0,0,642,69,0
Normal,0,0,128,109,0
Unbalance,0,0,40,237,908
