,BPFI,BPFO,Misalign,Normal,Unbalance
BPFI,351,0,0,0,0
BPFO,0,351,0,0,0
Misalign,0,0,687,23,1
Normal,0,0,22,215,0
Unbalance,0,0,270,5,910
