,BPFI,BPFO,Misalign,Normal,Unbalance
BPFI,287,64,0,0,0
BPFO,0,351,0,0,0
Misalign,0,30,229,198,254
Normal,0,0,210,0,27
Unbalance,0,0,1185,0,0
