,BPFI,BPFO,Misalign,Normal,Unbalance
BPFI,187,0,80,51,33
BPFO,0,134,78,78,61
Misalign,0,0,482,62,167
Normal,0,0,65,108,64
Unbalance,0,0,352,242,591
