,BPFI,BPFO,Misalign,Normal,Unbalance
BPFI,0,0,174,48,129
BPFO,0,15,100,71,165
Misalign,0,0,395,2,314
Normal,0,0,122,1,114
Unbalance,0,0,453,2,730
