,BPFI,BPFO,Misalign,Normal,Unbalance
BPFI,351,0,0,0,0
BPFO,0,351,0,0,0
Misalign,0,0,476,208,27
Normal,0,0,206,31,0
Unbalance,0,0,40,237,908
