實驗,設定,val準確率,test準確率,val_test差距,macro_F1,特徵數,訓練筆數,驗證筆數,測試筆數
D_四分類,只用振動,0.9864,0.9936,0.0072,0.9936,37,11732,2492,2492
D_四分類,振動+電流融合,0.9876,0.9936,0.006,0.9936,45,11732,2492,2492
E_跨轉速泛化,只用振動（跨轉速）,,0.9941,,0.9941,37,11940,0,4776
E_跨轉速泛化,振動+電流融合（跨轉速）,,0.9929,,0.9929,45,11940,0,4776
F_二元分類,只用振動（二元）,0.9956,0.9968,0.0012,0.9957,37,11732,2492,2492
F_二元分類,振動+電流融合（二元）,0.9964,0.9964,0.0,0.9952,45,11732,2492,2492
