,BPFI,BPFO,Misalign,Normal,Unbalance
BPFI,351,0,0,0,0
BPFO,0,351,0,0,0
Misalign,0,0,692,19,0
Normal,0,0,22,215,0
Unbalance,0,0,272,5,908
