,BPFI,BPFO,Misalign,Normal,Unbalance
BPFI,351,0,0,0,0
BPFO,0,351,0,0,0
Misalign,0,0,499,0,212
Normal,0,0,237,0,0
Unbalance,0,0,275,0,910
