,BPFI,BPFO,Misalign,Normal,Unbalance
BPFI,351,0,0,0,0
BPFO,0,351,0,0,0
Misalign,1,1,494,52,163
Normal,0,0,71,166,0
Unbalance,0,0,787,398,0
