,BPFI,BPFO,Misalign,Normal,Unbalance
BPFI,349,0,0,2,0
BPFO,0,332,0,19,0
Misalign,0,0,562,121,28
Normal,0,0,72,160,5
Unbalance,0,0,252,171,762
